claim,p_known,pred
the educational,0.9999816686125879,1
will eliminate,0.9972419225714738,1
will,0.9999999947257925,1
eliminate,0.9999996155859666,1
the,0.9999999942471383,1
educational,0.999999925313537,1
eliminate the educational,0.09804248501432451,0
eliminate,0.9999996155859666,1
the,0.9999999942471383,1
educational,0.999999925313537,1
the educational,0.9999816686125879,1
eliminate educational,0.9660443032544824,1
eliminate the,0.9999994185871187,1
eliminate the educational,0.09804248501432451,0
"By 2040, the average US student will spend more class time interacting with AI than with human teachers.",0.00019596715794355387,0
"By 2040, the average US student will spend more class time interacting with AI than with human teachers.",0.00019596715794355387,0
"By 2040, the average US student will spend more",0.2107804638397786,0
"By 2040, the average US",0.8675291503664541,1
student will spend more,0.9999967163387902,1
student will spend more,0.9999967163387902,1
"By 2040, the average US",0.8675291503664541,1
"By 2040, the",0.983317966802353,1
average US student,0.9990010790419789,1
will spend more,0.9998516159737104,1
average US student will spend more,0.9995977340277377,1
"By 2040, the will spend more",0.6803370407809343,1
"By 2040, the average US student",0.8988918685568159,1
"By 2040,",0.9998585438977048,1
the average,0.9999930600693675,1
US student,0.9999999992558859,1
will spend,0.9999997003467157,1
more,0.9999999798350354,1
the average US student will spend more,0.9986624016632079,1
"By 2040, US student will spend more",0.6853402235200383,1
"By 2040, the average will spend more",0.7575447722265944,1
"By 2040, the average US student more",0.4539882915811733,0
By,0.999999849984783,1
"2040,",0.9999999974386513,1
the,0.9999999942471383,1
average,0.9999999432402525,1
US,0.9999994563640775,1
student,0.9999999998305904,1
more,0.9999999798350354,1
"2040, the average US student more",0.8199358556862911,1
By the average US student more,0.9736434811724923,1
"By 2040, average US student more",0.4105107487418903,0
By,0.999999849984783,1
"2040,",0.9999999974386513,1
average,0.9999999432402525,1
US,0.9999994563640775,1
student,0.9999999998305904,1
more,0.9999999798350354,1
"2040, average US student more",0.9489777203647796,1
By average US student more,0.9720633138212541,1
"By 2040, US student more",0.8403296757254679,1
"By 2040, average student more",0.49732142980965743,0
By,0.999999849984783,1
"2040,",0.9999999974386513,1
average,0.9999999432402525,1
student,0.9999999998305904,1
more,0.9999999798350354,1
"2040, average student more",0.9778431842107757,1
By average student more,0.9464174709786705,1
"By 2040, student more",0.8629076357453498,1
"By 2040, average more",0.944552595898445,1
"By 2040, average student",0.8422945472301648,1
"By 2040, average student more",0.49732142980965743,0
"By 2035, oral examinations will become the dominant assessment format in US universities due to AI cheating concerns.",1.2485878525146885e-06,0
"By 2035, oral examinations will become the dominant assessment format in US universities due to AI cheating concerns.",1.2485878525146885e-06,0
"By 2035, oral examinations will become the dominant assessment",0.009932829649600454,0
"By 2035, oral examinations will",0.9973525698707045,1
become the dominant assessment,0.1914992953305896,0
become the,0.9999954876608437,1
dominant assessment,0.9971501515137275,1
dominant assessment,0.9971501515137275,1
become the,0.9999954876608437,1
become,0.9999999998430864,1
the,0.9999999942471383,1
dominant,0.9999985381930371,1
assessment,0.9999999934698973,1
the dominant assessment,0.9247152271862857,1
become dominant assessment,0.6139530924091321,1
become the assessment,0.048398786460739904,0
become,0.9999999998430864,1
the,0.9999999942471383,1
assessment,0.9999999934698973,1
the assessment,0.9999916827073324,1
become assessment,0.9998278300007586,1
become the,0.9999954876608437,1
become the assessment,0.048398786460739904,0
