idx,cell,label,verify_status,claim,source,notes,para_1,para_2,para_3,para_4,para_5
10,past_known,1,high,The One Laptop Per Child (OLPC) program in Peru did not produce measurable test-score gains.,Cristia et al. 2017,,OLPC's Peru rollout failed to improve student test scores.,Test-score outcomes from Peru's OLPC program were null.,Researchers found no test-score gains from OLPC distribution in Peru.,Peru's OLPC implementation did not raise measured academic achievement.,Studies of OLPC in Peru found no significant test-score impact.
11,past_known,1,high,Reading on paper produces slightly better comprehension than reading on screens for long texts.,Delgado et al. 2018 meta-analysis,,Long-text comprehension is modestly better on paper than screens.,Paper reading has a small comprehension advantage for longer texts.,"For long-form reading, paper outperforms screens on comprehension by a small margin.",Meta-analysis indicates a small paper-over-screen advantage for long-text comprehension.,"Comprehension is slightly higher on paper than screens, especially for long texts."
12,past_known,1,high,The 'digital divide' in computer/internet access has affected educational opportunity in the US.,Warschauer 2003; Pew Research multiple years,,Unequal computer/internet access has shaped US educational opportunity.,The digital divide has had documented effects on education in the US.,Access disparities to technology have influenced US educational outcomes.,Differential tech access between US students has impacted opportunity.,US educational opportunity has been shaped by uneven digital access.
13,past_known,1,high,"Kahoot, Quizlet, and similar gamified review tools became widely used in K-12 by the late 2010s.",industry usage stats; teacher surveys,,"By the late 2010s, Kahoot/Quizlet were common in K-12 classrooms.",Late-2010s K-12 saw widespread adoption of gamified review apps.,Gamified study tools like Kahoot were commonplace in late-2010s K-12.,"By the late 2010s, K-12 teachers widely used apps like Kahoot and Quizlet.","Use of Kahoot, Quizlet etc. was widespread in late-2010s K-12 classrooms."
14,past_known,1,high,COVID-19 school closures in 2020-21 produced learning losses in math and reading for K-12 students in many countries.,Patrinos et al. 2022; Kuhfeld et al. 2022,,K-12 students experienced learning losses during 2020-21 COVID closures.,Math and reading scores fell for K-12 students after pandemic closures.,Pandemic-era school closures led to documented learning losses in K-12.,Studies found math/reading achievement drops after 2020-21 school closures.,Learning losses during the pandemic are well documented across countries.
15,past_known,1,high,The Mozart Effect — that listening to Mozart raises general intelligence — was not replicated and is not a robust finding.,Pietschnig et al. 2010 meta-analysis,,Listening to Mozart does not robustly raise general intelligence.,The Mozart Effect on intelligence has failed to replicate.,There is no robust evidence that Mozart raises IQ.,Meta-analytic work shows the Mozart Effect is not real for general intelligence.,Claims of an intelligence boost from Mozart have not held up under replication.
16,past_known,1,high,"Khan Academy, founded in 2008, became one of the most widely used free online learning platforms by the late 2010s.",Khan Academy usage stats; multiple media reports,,"By the late 2010s, Khan Academy was among the largest free learning platforms.",Khan Academy was widely used as a free learning resource by late-2010s.,"Founded in 2008, Khan Academy grew into a leading free online learning site.",Late-2010s saw Khan Academy as a top free educational platform.,Khan Academy reached massive scale as a free learning platform by the late 2010s.
17,past_known,1,medium,Direct instruction generally outperforms pure discovery learning for novice learners.,"Kirschner, Sweller & Clark 2006",Kirschner et al. is contested by constructivist camp — verify whether this belongs in 'known'.,"For novices, direct instruction beats unguided discovery learning.",Novice learners do better with explicit instruction than pure discovery.,Pure discovery learning is less effective than direct instruction for beginners.,Beginners benefit more from direct instruction than from discovery learning.,Explicit teaching outperforms unguided discovery for those new to a domain.
18,past_known,1,high,Anki and other spaced-repetition flashcard apps are effective for vocabulary acquisition.,Nakata 2017; multiple lab studies,,SRS apps like Anki effectively support vocabulary learning.,Vocabulary learning is well-supported by spaced-repetition flashcard apps.,Apps like Anki produce gains in vocabulary acquisition.,Spaced-repetition software is effective for learning vocabulary.,Anki-style flashcard apps reliably aid vocabulary memorization.
19,past_known,1,high,Plagiarism-detection software (e.g. Turnitin) was widely adopted in US higher education by the 2010s.,industry adoption reports,,"By the 2010s, US universities had widely adopted plagiarism detectors.",Tools like Turnitin were standard in 2010s US higher-ed.,Plagiarism-detection software was commonplace in 2010s US universities.,US higher-ed widely used plagiarism detection by the 2010s.,Adoption of Turnitin-like tools was the norm in 2010s US higher-ed.
20,past_known,1,high,Computer-administered standardized tests have been shown to produce scores comparable to paper versions for most subjects.,Wang et al. 2008 meta-analysis,,Computer-based standardized tests give comparable scores to paper tests.,"Across most subjects, paper and computer test scores are similar.",Score equivalence between paper and computer tests is well-documented.,Standardized scores transfer well between paper and computer formats.,Computer testing produces results similar to paper for most standardized tests.
21,past_known,1,high,Children's heavy screen time before age 2 is associated with negative cognitive and language outcomes.,AAP 2016; Madigan et al. 2019,,Screen exposure under age 2 correlates with cognitive/language deficits.,Heavy early-childhood screen time has been linked to worse language outcomes.,Screen use before age 2 correlates with adverse cognitive development.,Negative associations between under-2 screen time and development are documented.,Studies find that high screen exposure under 2 hurts language development.
22,past_known,1,high,The Plato system (1960s-70s) demonstrated technical feasibility of large-scale computer-aided instruction.,Woolley 1994; computing history sources,,The Plato system showed that large-scale computer-aided instruction was feasible.,Plato demonstrated the technical viability of widespread CAI in the 1960s-70s.,Large-scale computer-based education was shown feasible by the Plato system.,Plato established that scalable CAI was technically possible.,The Plato project proved large-scale CAI was achievable in the 1960s-70s.
23,past_known,1,high,Distance education by mail (correspondence courses) existed and reached many learners well before the internet era.,education history,,Correspondence courses by mail predated internet-era distance learning.,Mail-based distance education served many learners before the internet.,Pre-internet distance education was delivered through correspondence courses.,Distance learning by post served large numbers prior to the internet age.,"Long before the internet, correspondence courses provided distance education."
24,past_known,1,high,ChatGPT (released November 2022) was rapidly adopted by college students for assignments within months.,Stanford report 2023; multiple media reports,,College students adopted ChatGPT for assignments within months of its release.,"After November 2022, ChatGPT use spread quickly through college coursework.","Within months of release, ChatGPT was widely used by undergraduates for schoolwork.",College students rapidly began using ChatGPT for assignments after its launch.,ChatGPT saw fast adoption for academic use among college students post-release.
25,past_unknown,0,high,1980s computer-aided instruction produced lasting gains in long-term student outcomes.,Kulik & Kulik 1991 (positive); later replications mixed,,CAI from the 1980s led to durable improvements in long-run student outcomes.,Long-term outcome gains from 1980s computer-assisted learning are well-established.,Evidence shows 1980s CAI had persistent long-term benefits for students.,1980s computer-based instruction reliably improved students' later-life outcomes.,Research confirms enduring long-term outcome gains from 1980s CAI programs.
26,past_unknown,0,high,Interactive whiteboards in 2000s classrooms improved learning outcomes more than equivalent non-digital displays.,Higgins et al. 2007 (mixed); Smith et al. 2005,,IWBs in the 2000s outperformed non-digital alternatives on learning outcomes.,2000s interactive whiteboards yielded better outcomes than analog displays.,Smartboards delivered superior learning gains versus traditional displays in the 2000s.,Interactive whiteboards beat non-digital equivalents for learning in the 2000s.,Evidence shows 2000s IWBs caused larger learning gains than non-digital displays.
27,past_unknown,0,high,The 'flipped classroom' model produces consistent positive learning gains over traditional lectures.,Bishop & Verleger 2013; reviews inconsistent,,Flipped classrooms reliably outperform traditional lectures.,The flipped classroom model has consistent positive effects vs. lectures.,Evidence supports flipped classrooms producing better outcomes than lectures.,"Compared to traditional lectures, flipped classrooms reliably improve learning.","Across studies, the flipped classroom shows steady gains over lectures."
28,past_unknown,0,high,Mueller and Oppenheimer's 2014 finding that handwritten notes outperform laptop notes for conceptual learning has been broadly replicated.,Urry et al. 2021 multi-site replication failed to confirm,,The 'pen beats keyboard for notes' result of Mueller & Oppenheimer has been replicated.,Handwritten note-taking has been confirmed as better than typing for conceptual learning.,Replications have supported the laptop-note disadvantage from Mueller & Oppenheimer.,The 2014 finding that handwriting beats typing for notes has held up in replication.,Empirical replications confirm handwritten notes outperform typed notes conceptually.
29,past_unknown,0,high,1:1 device programs in K-12 schools have produced meaningful improvements in learning outcomes.,Zheng et al. 2016 (positive); other studies null,,1:1 K-12 device programs have meaningfully improved student learning.,Giving every K-12 student a device has yielded substantive learning gains.,K-12 1:1 device rollouts have shown meaningful achievement gains.,Outcomes from K-12 one-device-per-student programs include real learning gains.,Research finds substantive learning improvements from 1:1 device programs.
30,past_unknown,0,high,Educational video games consistently improve transferable problem-solving skills.,Mayer 2014 (mixed); replication concerns,,Video games used in education reliably build transferable problem-solving.,Educational gaming consistently produces transferable cognitive skill gains.,Problem-solving skills transfer reliably from educational video games.,Game-based learning consistently builds general problem-solving ability.,Educational video games dependably yield transferable problem-solving gains.
31,past_unknown,0,high,Carol Dweck's growth-mindset interventions produce robust academic improvements at the effect sizes originally reported.,"Sisk et al. 2018: smaller, inconsistent effects",,Growth-mindset interventions reliably yield the academic gains originally claimed.,Effect sizes for growth-mindset interventions match the originally reported magnitudes.,Dweck-style mindset interventions consistently produce robust academic improvements.,Growth-mindset programs robustly improve academics at originally-reported effect sizes.,Studies confirm growth-mindset interventions produce robust gains as originally found.
32,past_unknown,0,high,Adaptive learning systems in higher education close achievement gaps to a meaningful degree.,Kerr 2016 (positive); Yarnall et al. 2016 (mixed),,Higher-ed adaptive learning meaningfully closes achievement gaps.,Adaptive systems in college have substantially narrowed achievement disparities.,Adaptive learning in higher education reliably reduces achievement gaps.,College-level adaptive systems demonstrably close gaps in achievement.,Adaptive learning platforms substantially shrink achievement gaps in higher ed.
33,past_unknown,0,high,Pre-pandemic VR in classrooms produced durable learning gains over equivalent non-VR instruction.,Radianti et al. 2020 (mixed),,Pre-2020 classroom VR yielded durable learning gains beyond non-VR instruction.,VR in classrooms before 2020 produced lasting outcomes superior to non-VR teaching.,Classroom VR before the pandemic showed durable learning advantages.,Lasting learning gains from pre-pandemic classroom VR have been demonstrated.,VR instruction pre-2020 produced durable gains beyond conventional methods.
34,past_unknown,0,high,Banning laptops in college lectures improves student learning on average.,Carter et al. 2017 (positive at West Point); broader generalization unclear,,College laptop bans improve average student learning.,Banning laptops in lectures raises average student outcomes.,Lecture laptop bans yield improvements in average learning.,"On average, banning laptops in college lectures improves learning.",College students learn more when laptops are banned in lectures.
35,past_unknown,0,high,Learning analytics deployments have meaningfully increased student retention in higher education at scale.,Ferguson 2012; mixed empirical evidence at scale,,At-scale learning analytics meaningfully boost higher-ed retention.,Higher-ed retention has been meaningfully improved by deployed learning analytics.,Learning analytics in higher ed have raised retention at scale.,"At scale, learning analytics demonstrably increase college retention.",Deployed learning analytics have meaningfully raised retention in higher ed.
36,past_unknown,0,high,Logo programming in 1980s-90s schools produced general cognitive gains beyond programming itself.,Pea & Kurland 1984 (skeptical); Clements 1999,,Logo programming yielded broad cognitive gains beyond coding skill.,"Studies show Logo improved general cognition, not just programming ability.",Logo schoolwork produced wide-ranging cognitive gains beyond programming.,"Logo's cognitive benefits extended generally, not just to programming skill.",1980s-90s Logo programs broadly improved cognition beyond coding.
37,past_unknown,0,high,Personalized-learning software in K-12 produces substantially better outcomes than non-personalized digital instruction.,Pane et al. 2017 (mixed evidence),,K-12 personalized-learning software substantially outperforms non-personalized.,Personalized digital instruction yields substantially better K-12 outcomes than non-personalized.,Substantial K-12 outcome gains result from personalized over non-personalized software.,K-12 personalized digital learning beats non-personalized by a substantial margin.,Outcomes are substantially better with personalized vs. non-personalized K-12 software.
38,past_unknown,0,high,Synchronous online discussion produces deeper learning than asynchronous discussion.,Hrastinski 2008; mixed,,Synchronous online discussion produces deeper learning than asynchronous.,Deeper learning results from synchronous compared to asynchronous online discussion.,Online discussion in real time produces deeper learning than asynchronous formats.,Synchronous discussion online outperforms asynchronous for depth of learning.,Real-time online discussion yields deeper learning than asynchronous discussion.
39,past_unknown,0,high,MOOCs achieved their original goal of substantially democratizing access to elite education globally.,Reich & Ruipérez-Valiente 2019 — usage skewed to already-educated,,MOOCs substantially democratized global access to elite education as originally promised.,MOOCs achieved their goal of broadly democratizing elite education worldwide.,Global democratization of elite education was substantially achieved by MOOCs.,"Through MOOCs, elite education has been substantially democratized globally.",MOOCs broadly succeeded in democratizing global access to elite education.
40,past_unknown,0,high,Duolingo and similar app-based language learners produce comparable proficiency to traditional classroom instruction.,Vesselinov & Grego 2012 (sponsored); independent evidence sparse,,App-based language learning achieves proficiency comparable to classroom instruction.,Apps like Duolingo yield language proficiency on par with classroom instruction.,Comparable language outcomes are produced by apps and classroom instruction.,App language learners reach proficiency similar to those taught in classrooms.,Outcomes from app-based and classroom-based language learning are comparable.
41,past_unknown,0,high,K-12 webcam-on policies during COVID remote schooling improved student learning outcomes.,limited evidence; mixed reports,,K-12 webcam-on COVID policies improved learning outcomes.,Requiring webcams during COVID K-12 remote learning improved outcomes.,Webcam-on rules during pandemic K-12 remote schooling raised learning outcomes.,Pandemic K-12 webcam-on policies produced learning gains.,Webcam-on remote schooling policies improved K-12 outcomes during COVID.
42,past_unknown,0,high,Educational data mining deployments in K-12 have produced robust closure of learning gaps.,Romero & Ventura 2013; outcome evidence at scale unclear,,K-12 educational data mining has robustly closed learning gaps.,Robust closure of K-12 learning gaps has been achieved via data mining.,K-12 data mining deployments have robustly narrowed learning gaps.,Data mining in K-12 has robustly reduced gaps in learning.,Learning gaps in K-12 have been robustly closed via educational data mining.
43,past_unknown,0,high,Augmented reality applications in K-12 produced meaningful improvements in long-term retention compared to controls.,Akçayır & Akçayır 2017 (mixed methodology),,AR in K-12 meaningfully improved long-term retention vs. control.,K-12 AR applications produced meaningful retention gains over controls.,Long-term retention rose meaningfully under K-12 AR vs. controls.,"Compared to controls, K-12 AR yielded meaningful long-term retention gains.",Meaningful retention improvements over controls were produced by K-12 AR.
44,past_unknown,0,high,Mandatory keyboarding instruction in early elementary improves long-term writing skills overall.,limited large-scale evidence,,Mandatory early-elementary keyboarding improves long-term writing overall.,Long-term overall writing improves with mandatory early keyboarding.,Early-elementary mandatory keyboarding raises long-term writing overall.,Mandatory keyboarding in early grades improves overall long-term writing.,Overall long-term writing improves under mandatory early keyboarding.
45,past_unknown,0,high,Project-based learning produces consistent transfer to standardized test outcomes.,Holm 2011; mixed evidence,,Project-based learning consistently transfers to standardized test gains.,Standardized test outcomes consistently improve with project-based learning.,PBL reliably transfers to gains on standardized tests.,Consistent standardized-test transfer follows from project-based learning.,Project-based learning consistently produces standardized-test gains.
46,past_unknown,0,high,Computer adaptive testing produces materially better measurement than fixed-form testing for the same length.,van der Linden & Glas 2010; gains depend on item bank quality,,Adaptive testing materially outperforms fixed-form for equal test length.,Materially better measurement comes from CAT vs. fixed-form at equal length.,"At equal length, computer-adaptive testing materially beats fixed-form measurement.",Computer-adaptive testing yields materially better measurement than equal-length fixed-form.,CAT delivers materially superior measurement to fixed-form at the same length.
47,past_unknown,0,high,Schoolwide laptop programs in low-income districts have produced meaningful achievement gains.,Penuel 2006; mixed evidence,,Low-income district schoolwide laptop programs have meaningfully improved achievement.,Achievement has meaningfully risen with schoolwide laptops in low-income districts.,Schoolwide laptop initiatives have meaningfully boosted achievement in low-income districts.,Meaningful achievement gains have come from low-income schoolwide laptop programs.,Low-income district laptop programs have meaningfully raised student achievement.
48,past_unknown,0,high,Online tutoring during the pandemic recovery period substantially recovered the learning losses students experienced.,early evidence mixed; full picture not yet clear,,Online tutoring substantially recovered pandemic learning losses.,Pandemic learning losses were substantially recovered through online tutoring.,Substantial recovery of pandemic learning losses came from online tutoring.,Online tutoring substantially closed the pandemic-era learning loss.,Learning losses from the pandemic were substantially recovered via online tutoring.
49,past_unknown,0,high,Educational chatbots before 2022 produced robust learning gains over equivalent non-chatbot tools.,Winkler & Söllner 2018; methodologically limited,,Pre-2022 educational chatbots robustly outperformed non-chatbot tools.,Robust learning gains came from pre-LLM-era educational chatbots over non-chatbot tools.,Pre-LLM educational chatbots delivered robust gains over non-chatbot equivalents.,Educational chatbots before 2022 robustly beat non-chatbot tools on learning.,Robust gains over non-chatbot tools came from pre-2022 educational chatbots.
50,future_known,1,high,"By 2030, a majority of US college students will have used a generative AI tool for coursework.",trend: ~50%+ adoption by 2024 surveys; near-certain extrapolation,,Most US college students will have used generative AI for coursework by 2030.,"By 2030, generative AI use among US college students for academic work will exceed 50%.",Majority US college student AI-tool use for school will be reached by 2030.,Generative AI use for coursework will be majority among US undergraduates by 2030.,Over half of US college students will have used genAI tools for school by 2030.
51,future_known,1,high,"By 2027, plagiarism/AI-detection software will continue to be sold to US universities.",trend extrapolation; market exists and is growing,,AI-detection software will still be marketed to US universities through 2027.,"Through 2027, US universities will continue to be sold plagiarism/AI detection products.","By 2027, plagiarism/AI detection products will still be on offer to US universities.",Vendors will continue selling AI-detection tools to US universities through 2027.,The market for AI/plagiarism detection software will persist into 2027 in US higher ed.
52,future_known,1,high,"By 2027, most US universities will have a formal policy on student AI use in coursework.","by mid-2024, majority of large US universities already had policies",,A formal student-AI-use policy will exist at most US universities by 2027.,"By 2027, most US universities will have established formal AI-use policies for students.",Most US universities will hold formal AI-use policies for students by 2027.,Formal policies on student AI use in coursework will be the norm at US universities by 2027.,"By 2027, having a formal student-AI policy will be standard at US universities."
53,future_known,1,high,"By 2027, the cost-per-token of GPT-4-class models will be lower than it was in early 2024.",well-established price trend in LLM inference,,GPT-4-class models will be cheaper per token in 2027 than in early 2024.,Per-token costs for GPT-4-class models will fall between early 2024 and 2027.,"By 2027, GPT-4-class inference will cost less per token than in early 2024.",Inference cost-per-token for GPT-4-class models will be lower in 2027 than in early 2024.,"Compared to early 2024, GPT-4-class per-token cost will be lower by 2027."
54,future_known,1,high,"By 2027, smartphones will remain widespread among US K-12 students.",saturated market; trend stable,,US K-12 students will continue to widely own smartphones through 2027.,Smartphone prevalence among US K-12 students will remain high through 2027.,"Through 2027, smartphones will continue to be common among US K-12 students.",US K-12 student smartphone ownership will remain widespread through 2027.,"By 2027, smartphones will still be commonplace among US K-12 students."
55,future_known,1,high,"By 2028, ChatGPT or its successor will still be operated by OpenAI in some form.",very near-term; OpenAI well-resourced,,OpenAI will still operate ChatGPT or its successor in 2028.,"By 2028, ChatGPT or a successor will continue to be run by OpenAI.",ChatGPT or a follow-on will be operated by OpenAI in 2028.,"Through 2028, OpenAI will continue to operate ChatGPT or its successor.",OpenAI will be running ChatGPT or a direct successor in 2028.
56,future_known,1,high,"By 2027, Microsoft's office suite will continue to include some embedded AI features.",Copilot already broadly embedded; near-certain to persist,,Microsoft Office will continue to include AI features through 2027.,Embedded AI features will persist in Microsoft's office suite through 2027.,Microsoft Office's AI features will continue to be present through 2027.,"Through 2027, Microsoft's office tools will continue to embed AI capabilities.",AI features will remain embedded in Microsoft Office through 2027.
57,future_known,1,high,"By 2030, automated machine grading of multiple-choice tests will continue to be widely used in US schools.",decades-old technology; deeply entrenched,,US schools will continue to widely use machine grading for multiple-choice tests by 2030.,"By 2030, multiple-choice tests in US schools will still be widely machine-graded.",Machine grading of multiple-choice tests will remain widespread in US schools by 2030.,"Through 2030, US schools will continue to widely machine-grade multiple-choice tests.","By 2030, US multiple-choice test grading will continue to widely use machines."
58,future_known,1,high,"By 2027, the percentage of US college students who have ever heard of ChatGPT will exceed 95%.",already approaching this; trend steady,,Over 95% of US college students will have heard of ChatGPT by 2027.,"By 2027, ChatGPT awareness among US college students will exceed 95%.",More than 95% of US college students will know of ChatGPT by 2027.,"Through 2027, US college student ChatGPT awareness will exceed 95%.","By 2027, awareness of ChatGPT among US college students will pass 95%."
59,future_known,1,high,"By 2030, some form of standardized testing will continue to be used for US college admissions.",deeply institutional,,Standardized testing in some form will persist for US college admissions through 2030.,"By 2030, US college admissions will continue to use some standardized testing.","Through 2030, some standardized testing will remain in US college admissions.",Some form of standardized testing will continue in US college admissions through 2030.,"By 2030, US college admissions will still use some standardized testing."
60,future_known,1,high,"By 2027, more than one major US school district will have piloted an AI tutoring system.",already happened by 2024; near-certain,,More than one US major school district will have piloted AI tutoring by 2027.,"By 2027, multiple major US school districts will have piloted AI tutoring.",AI tutoring pilots will exist in multiple major US districts by 2027.,"By 2027, multiple US major districts will have run AI tutoring pilots.",More than one major US district will have piloted AI tutoring by 2027.
61,future_known,1,high,"By 2027, generative AI will continue to make occasional factual errors in educational use cases.",well-established limitation; persistence near-certain,,Generative AI will continue to make factual errors in educational settings through 2027.,"Through 2027, occasional factual errors will persist in educational generative AI.","By 2027, generative AI will still make occasional educational-use factual errors.",Educational use of generative AI will continue to involve factual errors through 2027.,Occasional factual mistakes by generative AI in education will persist through 2027.
62,future_known,1,high,"By 2030, education will continue to be a major topic of policy debate in the US.",trivially likely,,Education will remain a major US policy debate topic through 2030.,"Through 2030, US policy debate will continue to feature education prominently.","By 2030, education will continue to be central to US policy debate.",Education policy debate in the US will continue to be major through 2030.,"By 2030, US policy debate will still prominently feature education."
63,future_known,1,high,"By 2027, NVIDIA, AMD, or another major chipmaker will continue to sell GPUs used for AI training.",core market; near-certain,,Major chipmakers will continue to sell AI-training GPUs through 2027.,"Through 2027, NVIDIA/AMD or comparable will continue offering AI-training GPUs.",AI-training GPUs will continue to be sold by major chipmakers through 2027.,"By 2027, major chipmakers will still be selling GPUs used for AI training.","Through 2027, AI-training GPUs will continue to be sold by major manufacturers."
64,future_known,1,high,"By 2030, computer-based testing will continue to be widely used for at least some standardized assessments in US K-12.",current trend; well-established infrastructure,,Computer-based testing will remain widespread in US K-12 standardized assessment through 2030.,"By 2030, US K-12 will continue to widely use computer-based testing for standardized assessments.","Through 2030, US K-12 standardized testing will continue to widely use computers.",Widespread US K-12 computer-based standardized testing will persist through 2030.,"By 2030, US K-12 standardized testing will still rely heavily on computers."
65,future_known,1,high,"By 2027, public concern about AI's effect on student learning will continue to be a topic in US media.",current trend; near-certain to persist,,US media will continue to cover concerns about AI and student learning through 2027.,Concerns about AI's impact on student learning will persist as a US media topic through 2027.,"By 2027, US media will continue to discuss AI's effect on student learning.","Through 2027, AI's effect on student learning will remain a US media topic.",Public concern over AI in student learning will continue in US media through 2027.
66,future_known,1,high,"By 2026, at least one major textbook publisher will offer AI-enhanced products to schools.",already true by 2024,,A major textbook publisher will offer AI-enhanced products to schools by 2026.,"By 2026, AI-enhanced products will be offered to schools by at least one major publisher.","Through 2026, at least one major textbook publisher will sell AI-enhanced products to schools.",AI-enhanced products will be available from at least one major textbook publisher by 2026.,"By 2026, at least one major textbook publisher will be selling AI-enhanced school products."
67,future_known,1,high,"By 2030, English will continue to be a widely spoken language globally.",trivial / control,Trivially certain — control / sanity-check item.,English will continue to be widely spoken worldwide through 2030.,"Through 2030, English will remain a widely spoken global language.","By 2030, English will still be a widely-spoken language internationally.",Global use of English will continue widely through 2030.,"Through 2030, English's global prevalence will continue."
68,future_known,1,high,"By 2027, internet access will continue to be required for most online educational platforms.",trivial,Trivially certain — control item.,Most online educational platforms will continue to require internet access through 2027.,"Through 2027, internet will still be needed for most online educational platforms.","By 2027, internet access will continue to be a requirement of most online ed platforms.","Through 2027, online educational platforms will mostly continue to require internet.","By 2027, internet access will still be required for most online education platforms."
69,future_known,1,high,"By 2028, AI will continue to be a topic in academic research papers in education.","current trend, growing",,AI will continue to appear in education research papers through 2028.,"Through 2028, education research will continue to feature AI as a topic.","By 2028, AI will still be a topic in academic education research.",Education research papers will continue to discuss AI through 2028.,"Through 2028, AI will remain a topic in education research papers."
70,future_known,1,high,"By 2027, most major LLM providers will continue to offer some form of API access for developers.",core business model; near-certain,,Major LLM providers will continue offering developer API access through 2027.,"Through 2027, most major LLM providers will continue providing API access for developers.","By 2027, most major LLM providers will still offer developer APIs.",Developer API access will continue to be offered by most major LLM providers through 2027.,"Through 2027, major LLM providers will largely continue to offer API access for developers."
71,future_known,1,high,"By 2027, students at top US universities will continue to receive grades for at least some assignments.",trivially extrapolative,,Top US universities will continue to grade some student assignments through 2027.,"Through 2027, some student assignments at top US universities will continue to be graded.","By 2027, students at top US universities will still receive grades for some work.",Some student assignments at top US universities will continue to be graded through 2027.,"Through 2027, top US universities will continue to grade at least some assignments."
72,future_known,1,high,"By 2027, classrooms in US public K-12 schools will continue to typically have human teachers.",trivially extrapolative,,US public K-12 classrooms will continue to typically have human teachers through 2027.,"Through 2027, human teachers will remain typical in US public K-12 classrooms.","By 2027, US public K-12 classrooms will still typically have human teachers.",Human teachers will continue to be typical in US public K-12 classrooms through 2027.,"Through 2027, US public K-12 classrooms will mostly still have human teachers."
73,future_known,1,high,"By 2027, some form of digital homework submission will remain in widespread use in US higher education.",saturated; near-certain to persist,,Digital homework submission will remain widespread in US higher ed through 2027.,"By 2027, US higher ed will continue widespread digital homework submission.","Through 2027, digital homework submission will remain widespread in US higher ed.",Widespread digital homework submission in US higher ed will persist through 2027.,"By 2027, digital homework submission will continue to be widespread in US higher ed."
